"customer","acr","ai_spending"
"北京抖音信息服务有限公司",122341701.0,31114716.0
"META",11127068.0,11017379.0
"HMG",9681049.0,9165489.0
"ADOBE INC",40631353.0,8718886.0
"G42 COMPANIES MANAGEMENT RSC LTD",22785350.0,5381364.0
"SUPREME COUNCIL OF INFORMATION AND COMMUNICATION TECHNOLOGY",26901513.0,4986456.0
"SIERRA-AI.COM",4277859.0,4277603.0
"PERPLEXITY",4276560.0,4271942.0
"Anysphere, Inc.",6312120.0,3840192.0
"Xyla",3549606.0,3548727.0
"Ant Group Co., Ltd.",3457464.0,3403644.0
"JPMorgan Chase",6015800.0,3350718.0
"ORACLE",3930256.0,2831513.0
"SERVICE NOW COM",14743014.0,2677749.0
"PALANTIR TECHNOLOGIES",7153750.0,2591749.0
"腾讯科技（深圳）有限公司",3549809.0,2409146.0
"Harvey AI",6928735.0,2281512.0
"Walmart Inc.",54476430.0,2231606.0
"DELOITTE & TOUCHE",25330486.0,1661865.0
"EPIC SYSTEMS CORPORATION",6206605.0,1525133.0
"MERCADOLIBRE.COM",2125553.0,1417342.0
"UNITEDHEALTH GROUP",30529734.0,1336172.0
"Leya AB",1712834.0,1265876.0
"SALESFORCE COM",8455151.0,1153325.0
"北京小米科技有限责任公司",6081330.0,1101627.0
"THOMSON CORPORATION",7367785.0,1098307.0
"T MOBILE USA",10969355.0,1090461.0
"BNY MELLON",7300573.0,1006693.0
"SAP SE",98409066.0,954349.0
"CISCO SYSTEMS",5483302.0,935944.0
"CIGNA CORPORATION",4534106.0,890626.0
"ELI LILLY AND COMPANY",3392740.0,854100.0
"ADVANCED MICRO DEVICES INC",4666114.0,841171.0
"ACCENTURE",17388443.0,815941.0
"LSEG",15222307.0,809028.0
"CENTRAL AGENCY FOR INFORMATION TECHNOLOGY - CAIT -",4525660.0,790827.0
"4915789799742",6546353.0,745001.0
"EY GLOBAL SERVICES LIMITED",23820346.0,720792.0
"Databricks, Inc.",6786541.0,701293.0
"阿里巴巴（中国）有限公司",7140645.0,692702.0
"KT Corp.",9384749.0,677888.0
"UBS AG",41144425.0,642429.0
"AT&T",28123567.0,633370.0
"KPMG International Cooperative",20236652.0,593094.0
"TD BANK FINANCIAL GROUP",15306271.0,584688.0
"ECLINICALWORKS",6140547.0,584380.0
"CATERPILLAR",5161043.0,557830.0
"PRICEWATERHOUSECOOPERS",24915081.0,556074.0
"COMMONWEALTH BANK OF AUSTRALIA",2613762.0,549166.0
"NVIDIA CORPORATION",19389601.0,545198.0
"ソフトバンクグループ株式会社",3268361.0,522624.0
"WALT DISNEY COMPANY",2889921.0,505369.0
"Snowflake Computing",23877305.0,503689.0
"CVS HEALTH",15945195.0,500821.0
"富士通株式会社",11818078.0,464888.0
"RELX Group",6867605.0,436609.0
"ABU DHABI NATIONAL OIL COMPANY -ADNOC -",4621180.0,407083.0
"GEICO",11063151.0,403175.0
"ALLSTATE INSURANCE GROUP",4096993.0,400851.0
"联想集团有限公司",1609581.0,400513.0
"THE MANUFACTURERS LIFE INSURANCE COMPANY USA",13377786.0,399274.0
"WOLTERS KLUWER USA",10477046.0,397180.0
"HUMANA INC",8708982.0,396737.0
"ROADGET BUSINESS PTE. LTD",4179460.0,390507.0
"株式会社日立製作所",10760395.0,389125.0
"Bajaj Finserv",3040362.0,383780.0
"GOLDMAN SACHS & COMPANY",1890912.0,374670.0
"株式会社三井住友フィナンシャルグループ",5639908.0,371635.0
"HSBC",5352033.0,362041.0
"Molina Healthcare",6949305.0,358331.0
"LG전자(주) (LG Electronics Co., Ltd.)",2100122.0,355650.0
"DOCUSIGN INC",10351400.0,355312.0
"Relativity ODA LLC",9014889.0,349251.0
"Samsung Electronics",4665357.0,332565.0
"MERCK COMPANY INC",2128243.0,328206.0
"CHUBB",6069708.0,324556.0
"Deutsche Telekom AG Konzernzentrale",2596456.0,319856.0
"S&P GLOBAL",2126685.0,316584.0
"トヨタ自動車株式会社",14758202.0,312926.0
"McKesson Corporation",8574274.0,305965.0
"JOHNSON JOHNSON CORP",4811100.0,291363.0
"Zürich Schweiz",6398342.0,287740.0
"MOODYS INVESTORS SERVICE",3365539.0,278352.0
"Elevance Health (Anthem)",13563826.0,272457.0
"BRIDGEWATER ASSOCIATES",2865612.0,272260.0
"SPRINKLR INC",1722871.0,256217.0
"Cognition AI, Inc.",3324035.0,252892.0
"FL-STATE GOVERNMENT",3575572.0,242896.0
"First Abu Dhabi Bank (FAB)",2121176.0,237168.0
"SK Telecom Co., Ltd.",2292179.0,236616.0
"iManage",5500629.0,236006.0
"株式会社三菱UFJフィナンシャル・グループ",2224888.0,234826.0
"Vodafone",2048708.0,231583.0
"日本電気株式会社",8482364.0,225275.0
"Reliance Group Of Companies",4809050.0,224767.0
"Atruvia AG",2606174.0,224325.0
"Mercedes-Benz Group AG",22921031.0,221300.0
"COMCAST",3450928.0,209400.0
"U S DEPARTMENT OF VETERANS AFFAIRS",11002398.0,208055.0
"日本電信電話株式会社",13990466.0,203826.0
"SIEMENS AG GERMANY",14417112.0,200757.0
"Larsen & Toubro Ltd",2349864.0,199077.0
"PAYPAL, INC.",1707787.0,197561.0
"Abu Dhabi Developmental Holding Company PJSC",2436034.0,191258.0
"Axon Enterprise, Inc.",11311360.0,189135.0
"US Department of Energy",4669384.0,186657.0
"Butterfly Effect (Hong Kong) Limited",1636941.0,186290.0
"ROGERS COMMUNICATIONS INC",4550115.0,186264.0
"GSK",10413438.0,185091.0
"Allianz Technology SE",10836092.0,180539.0
"趨勢科技股份有限公司",6481450.0,179923.0
"NAVY FEDERAL CREDIT UNION M",7712377.0,171400.0
"LEONARDO S.P.A.",2987044.0,166730.0
"FISERV INC",10946362.0,163932.0
"Icertis Solution Pvt.Ltd",3654332.0,160500.0
"European Union Institutions",4867752.0,157717.0
"TELEFONICA GROUP SPAIN",6327434.0,153710.0
"POSTE ITALIANE SPA",5762687.0,152252.0
"BANCO BRADESCO SA",9998643.0,150396.0
"TELSTRA",4388069.0,148832.0
"Government Technology Agency, on behalf of the Government of the Republic of Sin",8575125.0,147287.0
"INTEL CORPORATION",3628341.0,144326.0
"Stripe",2553965.0,143401.0
"PETROBRAS - PETRÓLEO BRASILEIRO SA",3435344.0,143147.0
"Münchener Rückversicherungs-Gesellschaft AG",6760936.0,143146.0
"Australian Energy Market Operator Limited",2323054.0,142423.0
"CANADIAN IMPERIAL BANK OF COMMERCE",8633751.0,136980.0
"Cognizant Technology Solutions India Pvt Ltd",5178880.0,135482.0
"Volkswagen AG Germany",16903915.0,131893.0
"United Wholesale Mortgage",2849342.0,131136.0
"HEALTHEDGE SOFTWARE INC",2019151.0,130949.0
"AIA Company Limited",7946783.0,130173.0
"Hexagon",3654935.0,125245.0
"BMW AG",7126272.0,124453.0
"H AND R BLOCK",3117832.0,124338.0
"HP inc",3743722.0,124076.0
"VALE SA",2297890.0,122576.0
"Royal Dutch Shell Global Parent",14226123.0,122419.0
"Mistral AI",1924051.0,121764.0
"PEARSON INC",2477335.0,121701.0
"ABU DHABI INVESTMENT AUTHORITY (ADIA)",2105710.0,118560.0
"Emirates",3205567.0,117208.0
"WPP",4285010.0,115220.0
"MASTERCARD INTERNATIONAL",4542757.0,115120.0
"IBM",6448806.0,114709.0
"富士フイルムホールディングス株式会社",2097290.0,112252.0
"U S DHS",3929518.0,112004.0
"Robert Bosch GmbH",8854807.0,110814.0
"MOUVEMENT DESJARDINS",4218949.0,108980.0
